trip_id,date,vehicle_id,vehicle_type,vehicle_age_years,last_maintenance,route_id,route_distance_km,terrain,actual_distance_km,fuel_consumed_liters,fuel_cost_mxn,kpl,load_factor
0,2024-11-28 12:48:17.171486,V009,Truck C,8,2025-07-28 12:48:17.169475,R001,781,Hilly,882.9853124120584,437.3257722869651,9768.114683737798,2.019056201043326,1.1610211626718265
1,2025-09-30 12:48:17.171486,V001,Truck A,5,2025-03-17 12:48:17.169475,R000,610,Hilly,510.37581193106945,182.35170776979479,4676.616707284554,2.79885402869591,0.997210263108722
2,2024-11-17 12:48:17.171486,V007,Truck B,5,2025-02-01 12:48:17.169475,R004,882,Mountainous,948.3369875897537,356.63986848498035,6836.628737772729,2.6590885411054157,1.0823325935514778
3,2025-07-03 12:48:17.171486,V008,Truck C,2,2025-08-07 12:48:17.169475,R004,882,Mountainous,1016.1909969356335,508.2271722080644,10214.991335327053,1.9994818311674458,1.032522166890713
4,2025-03-17 12:48:17.171486,V001,Truck A,5,2025-03-17 12:48:17.169475,R004,882,Mountainous,795.0990709424434,395.2519924231441,9734.522584280874,2.011625712669997,0.9321010116076394
5,2025-06-22 12:48:17.171486,V007,Truck B,5,2025-02-01 12:48:17.169475,R001,781,Hilly,628.5970578930986,216.75498336322335,4659.754655736492,2.90003509095677,0.889438335407781
6,2025-04-01 12:48:17.171486,V001,Truck A,5,2025-03-17 12:48:17.169475,R002,575,Mountainous,604.3383584193347,207.09011374473317,5062.6254778741595,2.918238574943583,1.0782994755938469
7,2025-07-09 12:48:17.171486,V007,Truck B,5,2025-02-01 12:48:17.169475,R000,610,Hilly,725.7523330705446,284.59428971122054,5804.542783171416,2.5501296382544067,1.0334624447403489
8,2025-05-03 12:48:17.171486,V001,Truck A,5,2025-03-17 12:48:17.169475,R003,799,Hilly,665.6463950432839,238.78753692652134,5569.823860294117,2.787609452364818,1.0324650484723306
9,2025-08-05 12:48:17.171486,V003,Truck C,8,2025-04-17 12:48:17.169475,R004,882,Mountainous,728.0069734793525,342.73970772760225,8093.3700166224535,2.124081211091968,1.1316656882826057
10,2025-02-05 12:48:17.171486,V001,Truck A,5,2025-03-17 12:48:17.169475,R003,799,Hilly,759.9610355485413,234.4227515493613,6150.114386311199,3.2418399260556408,1.0904483376287393
11,2025-01-16 12:48:17.171486,V005,Truck A,3,2025-09-03 12:48:17.169475,R000,610,Hilly,690.8546435752502,321.18480912235896,6526.955418989985,2.1509567823678153,0.9992660746583572
12,2025-08-25 12:48:17.171486,V006,Truck C,6,2025-01-15 12:48:17.169475,R003,799,Hilly,952.5558869395239,296.4595678615042,7344.810634765203,3.2131055638066828,1.1612604234706505
13,2025-08-25 12:48:17.171486,V000,Truck C,8,2024-12-05 12:48:17.169475,R002,575,Mountainous,620.4576304434967,273.4910294260258,6775.763170442089,2.2686580680384574,0.9191837806167802
14,2025-08-04 12:48:17.171486,V002,Truck C,4,2024-12-22 12:48:17.169475,R002,575,Mountainous,489.64233603944933,231.88530150706916,5071.34682152362,2.111571250343016,0.8960582475112773
15,2025-04-24 12:48:17.171486,V001,Truck A,5,2025-03-17 12:48:17.169475,R002,575,Mountainous,524.0757779773505,309.10374014579423,6541.406136835277,1.6954688989856963,0.8163474465065916
16,2025-09-05 12:48:17.171486,V007,Truck B,5,2025-02-01 12:48:17.169475,R003,799,Hilly,839.8769644812941,344.78093707224957,8946.019975661471,2.435972741454949,0.8157248559364396
17,2025-06-19 12:48:17.171486,V006,Truck C,6,2025-01-15 12:48:17.169475,R000,610,Hilly,549.5946144199411,216.88817907712917,4438.411539468246,2.5339998554024272,1.0989883752535026
18,2024-10-30 12:48:17.171486,V000,Truck C,8,2024-12-05 12:48:17.169475,R000,610,Hilly,566.5873164022955,305.16008892315114,7235.073061658234,1.8566887904695162,0.9509136652418491
